상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024
3001491,105840,52278828,451309752219
3001492,21240,173404731,2323168283547
3001493,54746,84336760,592441401861
3001494,38850,217027839,1233135489141
3001495,202576,96379422,1797325989068
3001496,608,2652928,605056265763
3110001,21422,3740117,2937864693
3110002,12682,13353757,27061382656
3110003,68396,13876753,6910047426
3110004,10410,14659807,3152458038
3110005,46028,4226091,4073759169
3110006,13610,319571,270749612
3110007,41896,21542777,166285200
3110008,101644,36163618,22972073893
3110009,35204,4508848,5400912442
3110010,65886,5443098,10804414683
3110012,43642,13672846,21773136031
3110013,7542,3102728,180475480
3110014,18944,1300950,2249980398
3110015,13048,1809723,4529455102
3110016,44664,817342,2840501002
3110017,15484,10558799,573115937
3110018,61030,11332847,8148864305
3110019,5274,14235700,13240694881
3110020,87008,46994325,12248151978
3110021,41022,32664930,11821669052
3110022,33748,13200352,6029776895
3110023,12684,12780836,5510562611
3110024,24982,8639595,9786224960
3110025,13546,8950778,2248830871
3110026,2398,8386872,50461479
3110027,59274,11011730,1755265723
3110028,87210,56533606,22855257765
3110029,117840,74377437,12812561229
3110030,4006,3808600,3185135756
3110031,9760,2117339,419482957
3110032,522,3199929,600216267
3110033,44050,16958021,3079911853
3110034,5892,8178536,1066509365
3110035,76536,36284049,5942334576
3110036,7286,9105240,2085875719
3110037,34154,22448584,4603612664
3110038,278,704677,18421419245
3110039,1996,2291495,5700949268
3110040,20052,4498262,3419101491
3110041,15322,7488545,31691737077
3110042,21738,5128408,5076136659
3110043,48300,21316507,11740160629
3110044,5088,4456987,2339257532
3110045,20268,15051300,27476896006
3110047,58996,14332377,1307139992
3110048,54398,22054056,16797011437
3110049,43496,18624850,21663313709
3110050,16706,10279305,5718918443
3110051,26612,22040897,10353164181
3110052,38196,15547390,46238625034
3110053,56228,26999669,12825798393
3110054,42716,25759082,29131764135
3110055,6210,12551034,2603316409
3110056,108592,47917598,29294716024
3110057,37066,19595663,12449331563
3110058,82986,37485250,71949647596
3110059,37396,16265458,6554421140
3110060,74642,20782412,20325261054
3110061,84694,33653554,5536730037
3110062,26962,20253154,44483395377
3110063,60784,22067999,33506798687
3110064,64278,34419434,41655078147
3110065,3674,1790398,205334865855
3110066,60994,38212916,20823599726
3110067,170616,56192814,16753242210
3110068,79892,42591015,36214150479
3110069,116926,58466510,81192788648
3110070,2384,1408873,825116515
3110071,11282,1770767,6635284290
3110072,2584,7040878,18138472585
3110073,10612,4617679,1193589068
3110074,69706,18683589,44599408117
3110075,69432,21830069,13285500734
3110076,432,1527828,4407798106
3110077,27628,12685990,6073018430
3110078,10226,2687856,16827239496
3110079,224566,56119114,38322796863
3110080,89762,42582644,9159497807
3110081,72966,42107166,37134001165
3110082,21244,9098509,31838552897
3110083,15850,2626281,807211531
3110084,79560,25577590,36103837870
3110085,58620,33456749,36196646555
3110087,33914,6001387,3818622190
3110088,39356,9631477,7771400634
3110089,53714,12892021,7976267866
3110090,42978,16091063,7801422754
3110091,3258,5448143,9155622102
3110092,74346,20520566,3209704000
3110093,125718,60087949,38374549524
3110094,7768,1983680,5257652048
3110095,50186,12330652,44662585409
3110096,21504,6471600,2433215496
3110098,4864,2331162,16954952209
3110099,38960,7466547,3902172368
3110101,14744,4248367,37975721
3110102,18240,13530258,16016811398
3110103,9234,7230101,292477462
3110104,64050,28801575,5886820431
3110105,63130,21699134,6771013624
3110106,20532,9195888,4416170147
3110107,6442,2983268,8464357507
3110108,66,2608752,1144868769
3110109,9970,9111159,9609014582
3110110,43948,25278081,5232132088
3110112,59290,20538955,19293475478
3110113,32068,4524610,1043239374
3110114,17426,9512825,4898588289
3110115,44228,20564161,21731776052
3110116,43162,16772027,1325786071
3110117,34594,14608743,3626364029
3110118,25826,27236073,31565621919
3110120,19276,12686460,2077573469
3110121,19852,4609420,1869979378
3110122,17612,8247067,32370822643
3110123,60304,21525049,10909766000
3110124,18104,9555767,10865851251
3110125,94150,23524259,11511221149
3110126,12634,6803065,1399329146
3110127,20556,3772806,5656522214
3110128,164758,36229987,71175647728
3110129,34342,5596451,8803889318
3110130,29502,12009552,1196452922
3110131,56578,22557702,236500109673
3110132,43244,14614706,3150210779
3110133,39072,11340318,3487994957
3110134,123158,41518825,26238419565
3110135,24874,6883720,6512423730
3110136,52456,27350848,58438309522
3110137,35314,35571025,138707176203
3110138,75536,29578150,10405150772
3110139,116732,51403836,21018693230
3110140,113102,55889927,42569205769
3110141,66146,43016250,17649369401
3110142,132968,46474458,29200367996
3110143,2484,4297021,7284714004
3110144,45528,10218546,4085631190
3110145,12364,5511241,1723822438
3110146,83702,39139938,13080167666
3110147,137324,30037156,43921298634
3110148,33408,14439057,8591891312
3110149,22714,6701278,1925702335
3110150,133618,44362496,12727579529
3110151,102066,34740054,26391083737
3110152,45024,6987832,6389162737
3110153,54402,9899338,687944153
3110154,96558,47490990,31428357581
3110155,89730,24041356,7038498120
3110156,135266,27321076,15450804206
3110157,125786,32091666,11269714784
3110158,146762,66124555,31423225593
3110159,194822,89609375,46753158045
3110160,40664,13882960,1230067825
3110161,107210,26075954,20657879630
3110162,82416,13375281,6218661046
3110163,63890,15975961,16702089971
3110164,72330,12278932,13843514116
3110165,92028,22925692,20889937293
3110166,135100,48790331,39612321556
3110167,150210,41192056,31518284624
3110168,56352,16705962,4635875075
3110169,55532,15041935,6716196317
3110170,137088,62228019,9019834205
3110171,53028,11119069,380524832
3110172,86568,25936651,10336169751
3110173,30340,10753407,5296319613
3110174,104790,20769674,19304086228
3110175,107194,32204763,4715235542
3110176,133378,34292717,9690761555
3110177,34362,3618131,1122710555
3110178,25214,8157829,2311823776
3110179,22172,12059039,21902462707
3110180,27322,6379365,42681337733
3110181,30188,30379451,3466757592
3110182,22228,20879103,2988758540
3110183,11440,13842075,3454528623
3110184,4818,6993939,2281952197
3110185,9216,15264719,1040997976
3110186,9628,4465183,7740165977
3110187,91228,66868366,51910326251
3110188,85792,22181936,16786788616
3110189,48262,23336804,17500403338
3110190,51244,30938225,8118049754
3110191,25952,34266592,14166926232
3110192,12762,6532786,11395635299
3110193,29878,19599644,2962629810
3110194,36604,12310758,27741155097
3110195,78398,38365393,31844809760
3110197,11596,6692281,1006633747
3110198,2662,6447707,656608180
3110199,22458,10445942,14192709878
3110200,17002,11526444,1493102715
3110201,11070,3385003,1210646517
3110202,27610,13062091,866936551
3110203,38768,19491728,4066987461
3110204,75482,33468008,45000545400
3110205,56022,48756863,23992984088
3110206,82086,36855635,9031211819
3110207,20072,14791314,4002401353
3110208,18760,9341934,309816502
3110209,14912,9241736,149591922
3110210,80534,56344346,16320182347
3110211,77776,59735143,14691362001
3110212,48730,22799474,16256824583
3110213,18172,12443283,519101070
3110214,59370,36143812,11577649748
3110215,45230,19614614,2792921594
3110216,25412,9413095,16516149179
3110217,12764,14132016,1193154881
3110218,55186,29984099,33176411253
3110219,155012,40851406,47360551621
3110220,43814,32548780,55425097589
3110221,22758,7965534,3117062214
3110222,3308,1213115,165000000
3110223,35714,9442151,1239777834
3110224,19768,15326525,13805180717
3110225,27028,10372312,9395633926
3110226,236054,71112813,183307580737
3110227,18322,13184114,14447002549
3110228,117252,41700166,46176552907
3110229,159544,42558826,105453483543
3110230,77384,25354242,24207946982
3110232,70352,19256350,101534913025
3110233,114110,35703830,17665463812
3110234,16942,8954526,8794810116
3110236,175906,48581485,11424835600
3110237,93692,26340228,45247094709
3110238,30692,3780035,37695228
3110239,5752,4285845,3481320132
3110240,28514,16673876,24008694181
3110241,64424,28673401,55671524267
3110242,92504,17464614,5255025849
3110243,101484,24786369,28811831959
3110244,35038,24418512,42237652674
3110245,49714,13600456,6688747722
3110246,63018,31380431,10767413955
3110247,131426,51101328,32266112810
3110248,35320,13351973,10056049891
3110249,141244,44664508,58562585698
3110250,32868,13855953,4000297811
3110251,87980,20124344,7214573665
3110252,100018,23660401,35987440480
3110253,72880,21803509,14444027725
3110254,156506,86503775,38980435575
3110255,136218,60180115,40432157130
3110256,175382,39541992,35440180253
3110257,90658,46311346,2036581256
3110258,125880,23396007,10298295430
3110259,85714,34334206,36596444252
3110260,48442,32285243,18809230766
3110261,107656,39265166,9966715769
3110262,93688,42828409,52714441298
3110263,157580,42630667,9491076345
3110264,212830,72352359,44653735513
3110265,23192,11416830,17147688931
3110266,117596,40835303,9412153227
3110267,97828,37699248,17969832588
3110268,56938,15634674,6431484963
3110269,32586,13119415,8099395329
3110270,25744,8728491,6466060000
3110271,5216,1235199,2838453295
3110272,79214,33011863,72402440661
3110273,49056,17962503,24559175955
3110274,145360,33791493,33688547994
3110275,19138,11594847,14991346130
3110276,10974,1255247,480025550
3110277,79190,29493780,17216923566
3110278,84810,26518044,33318920501
3110280,15886,6046684,268060725
3110281,23828,1827714,259923609
3110282,16576,1114466,3493554018
3110283,10984,3883346,8453419504
3110284,30186,2307430,754772589
3110285,43834,4105610,7011669745
3110286,57322,18071052,18034567741
3110287,37986,5719745,3478457171
3110288,40776,6883101,12033682467
3110289,114424,32655367,6235103922
3110290,29038,5037641,1371550212
3110291,102186,57173820,24842807826
3110292,11420,7550740,4985188453
3110293,53238,37828270,23273094276
3110294,149168,40455089,20556906140
3110295,108368,24792883,22679205733
3110296,40920,21762410,17160219853
3110297,141854,54975396,14274469414
3110298,14522,7185045,179214167
3110299,72962,50759279,43640816877
3110300,87300,77742500,19858361222
3110301,75744,36395966,9108479600
3110302,45800,10229702,11016684410
3110303,70424,35322553,8779137946
3110304,35966,23836470,14262331933
3110305,60136,50340578,14527185042
3110306,24744,4023015,3323151357
3110307,5378,17998490,3256185600
3110308,25570,23862723,22006479336
3110309,31822,8297662,1170504311
3110312,32114,13909077,35062838171
3110313,22588,37399109,58015592662
3110314,23524,19091892,56286288945
3110315,65980,37867934,18729758350
3110316,99690,78277690,46836447590
3110317,51126,16341731,15392443175
3110318,39184,26438982,16923528105
3110319,68428,30605827,33668558236
3110320,20408,5271977,5981495019
3110322,62554,20918774,3176255200
3110323,47726,36112476,10166782806
3110325,74910,25742066,13867741129
3110326,30086,10324742,14679288
3110327,75852,29288682,25008517014
3110328,47166,23397838,5759559752
3110329,54714,12046818,5909493133
3110330,44872,21218988,8559406927
3110331,71174,30018142,24007339262
3110332,17444,5991760,3504380459
3110333,29230,20229177,17816696010
3110334,59814,48243498,11116806086
3110335,93520,34391101,68820747369
3110336,49658,11271646,1540206722
3110337,60600,11888952,11591133643
3110338,45838,4631341,894168
3110339,802,638075,5190184490
3110340,32606,7908799,1133834717
3110341,48742,6695365,20807739865
3110342,58416,25220858,1788128541
3110343,101082,21955711,3063039218
3110344,23708,7987564,446739722
3110345,63208,16515597,23083912399
3110346,26184,18122929,14261919952
3110348,86764,50062263,9452150141
3110349,23768,14319528,776097502
3110350,62376,16344948,7093512468
3110351,65486,18314391,4399798093
3110352,106962,39384357,19611114508
3110353,48198,19684740,8836620439
3110354,5664,2297795,5012700230
3110355,67810,35442596,19577162537
3110356,70334,24943522,4325497578
3110357,36186,26700029,6670174254
3110358,78418,26911249,2899051040
3110359,140942,30911157,9319778289
3110360,87502,35722912,15550819955
