상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,resident_pop_2024_high10,floating_pop_2024_high25,floating_pop_2024_high10,estimated_sales_2024_high25,estimated_sales_2024_high10,is_active_25,is_active_10,log_resident_pop_2024,z_resident_pop_2024,log_floating_pop_2024,z_floating_pop_2024,log_estimated_sales_2024,z_estimated_sales_2024,score,상권_코드_명,시군구명,행정동명,lat,lon
3001491,105840,52278828,451309752219,True,False,True,True,True,True,True,True,11.569693246967937,0.9043961604858506,17.77210204784664,1.2052637875373176,26.83541975271939,1.7611350722174512,1.290265006746873,이태원 관광특구,용산구,이태원1동,37.53429713509511,126.99431536622004
3001492,21240,173404731,2323168283547,False,False,True,True,True,True,True,True,9.963688555226884,-0.1945163517347686,18.9711389114424,2.2483585507051935,28.473953009429636,2.607078799497724,1.5536403328227164,명동 남대문 북창동 다동 무교동 관광특구,중구,소공동,37.56405849550582,126.98185518628583
3001493,54746,84336760,592441401861,False,False,True,True,True,True,True,True,10.910477851656925,0.4533264656829064,18.250328401466504,1.6212938698600603,27.107517805253817,1.9016141499560495,1.325411495166339,동대문패션타운 관광특구,중구,광희동,37.56732015787964,127.01127036058037
3001494,38850,217027839,1233135489141,False,False,True,True,True,True,True,True,10.567489095490265,0.2186355973181817,19.19553619820652,2.443571593605968,27.84058121983369,2.2800809248737375,1.6474293719326287,종로·청계 관광특구,종로구,종로1·2·3·4가동,37.57000516981832,126.9976861745869
3001495,202576,96379422,1797325989068,True,True,True,True,True,True,True,True,12.218875340166775,1.348600544566692,18.383803282439303,1.7374095236687828,28.217321114661615,2.474584606468691,1.853531558234722,잠실 관광특구,송파구,방이2동,37.516431783052106,127.1152376590501
3001496,608,2652928,605056265763,False,False,False,False,True,True,False,False,6.411818267709897,-2.624892004314995,14.791174870605714,-1.3879755217530902,27.12858729191571,1.912491927386355,-0.7001251995605767,강남 마이스 관광특구,강남구,삼성1동,37.51108527358662,127.05973726093791
3110001,21422,3740117,2937864693,False,False,False,False,False,False,False,False,9.97222039021722,-0.1886784234452081,15.134627719695136,-1.089190822835739,21.80094885985951,-0.8380670218191766,-0.705312089366708,이북5도청사,종로구,평창동,37.609520572210506,126.9576694132254
3110002,12682,13353757,27061382656,False,False,False,False,False,False,False,False,9.448017793067429,-0.5473652914903806,16.40730840132471,0.0179699280119395,24.021373554355613,0.3082962482058984,-0.0736997050908475,독립문역 1번,종로구,무악동,37.57574426399884,126.95720973645462
3110003,68396,13876753,6910047426,False,False,False,False,False,False,False,False,11.133084242999656,0.6056454159355437,16.44572562402156,0.0513907552001589,22.65624233823355,-0.3964951769687964,0.0868469980556353,세검정초등학교,종로구,부암동,37.60355237223954,126.95910218426822
3110004,10410,14659807,3152458038,False,False,False,False,False,False,False,False,9.250618218474752,-0.6824364177096656,16.500620157474806,0.099145917789497,21.871448315326184,-0.8016694864719559,-0.4616533287973748,대신고등학교,종로구,교남동,37.57318494456276,126.96057429274738
3110005,46028,4226091,4073759169,False,False,False,False,False,False,False,False,10.737026911613317,0.3346422493474511,15.256788246916445,-0.982918021657434,22.12783203911075,-0.6693034194274801,-0.4391930639124877,세검정,종로구,부암동,37.600920678998975,126.96249105636889
3110006,13610,319571,270749612,False,False,False,False,False,False,False,False,9.518633568332074,-0.4990462800967387,12.674737879524429,-3.2291568974042235,19.416705014481472,-2.069007020775094,-1.932403399425352,부암동주민센터,종로구,부암동,37.59198365315743,126.96264743144278
3110007,41896,21542777,166285200,False,False,False,False,False,False,False,False,10.642969504301549,0.2702832457321638,16.885551190736017,0.4340143085506128,18.92921495042582,-2.3206889198824148,-0.538797121866546,사직공원(한국사회과학도서관),종로구,사직동,37.57396577897797,126.96485161391314
3110008,101644,36163618,22972073893,True,False,True,False,False,False,True,False,11.529241629455164,0.876717045441574,17.403564171444884,0.8846565230109754,23.85754513664188,0.2237147349850815,0.661696101145877,배화여자대학교(박노수미술관),종로구,청운효자동,37.58030907496367,126.96709192601736
3110009,35204,4508848,5400912442,False,False,False,False,False,False,False,False,10.468943396953234,0.1512054698068699,15.321552468264068,-0.926576784636778,22.409833747168587,-0.5237112716716191,-0.4330275288338424,자하문터널,종로구,부암동,37.595077477060705,126.96592550376094
3110010,65886,5443098,10804414683,False,False,False,False,False,False,False,False,11.09569643244182,0.580062718053137,15.509859125749918,-0.7627605632538152,23.103220654591137,-0.165728726910796,-0.1161421907038247,평창동서측,종로구,평창동,37.609362235693666,126.96674385384304
3110012,43642,13672846,21773136031,False,False,False,False,False,False,False,False,10.683798181855538,0.2982203650022575,16.43092245329224,0.0385128276444314,23.8039427547351,0.1960408391055675,0.1775913439174188,성곡미술관,종로구,사직동,37.57330953129751,126.96934961886537
