상권_코드,resident_pop_2024,floating_pop_2024,estimated_sales_2024,resident_pop_2024_high25,floating_pop_2024_high25,estimated_sales_2024_high25
3120153,49390,45182343,5419195798678,False,True,True
3120131,90198,27797801,3761315343338,True,False,True
3001492,21240,173404731,2323168283547,False,True,True
3120189,136844,192572616,2092618835020,True,True,True
3001495,202576,96379422,1797325989068,True,True,True
3120009,78562,151104088,1618181711425,True,True,True
3120227,117922,27446791,1581433298700,True,False,True
3001494,38850,217027839,1233135489141,False,True,True
3120149,62474,37262850,975611265029,False,True,True
3120103,92316,105033412,784953646241,True,True,True
3120145,102726,98062971,773386260356,True,True,True
3120225,90518,66226226,768743029221,True,True,True
3120188,27254,49931510,754845929192,False,True,True
3120197,126420,116732375,750707412140,True,True,True
3120178,81280,82333326,711182230971,True,True,True
3130246,36510,29579627,691935545675,False,True,True
3120081,23618,113825573,685481441033,False,True,True
3120187,115862,92830657,661975112292,True,True,True
3120210,102604,130148366,657900348717,True,True,True
3120202,39924,56564775,636414245777,False,True,True
3130024,1302,54476927,618586975963,False,True,True
3120200,21910,33834408,610575325360,False,True,True
3120208,72764,38444537,610136783357,False,True,True
3001493,54746,84336760,592441401861,False,True,True
3120173,112044,109514924,578527911434,True,True,True
3120076,124090,122937485,564893902490,True,True,True
3120028,2492,41939478,556634728949,False,True,True
3120006,8920,64363826,535466423711,False,True,True
3120185,80200,66964237,501668755186,True,True,True
3120094,80954,158974307,500468613736,True,True,True
3120037,43022,87616580,474872429038,False,True,True
3120031,21184,54140956,470104882747,False,True,True
3120215,75362,84475418,466294814954,True,True,True
3120186,68958,58846242,463672838637,False,True,True
3001491,105840,52278828,451309752219,True,True,True
3120053,94868,69629042,430392940974,True,True,True
3120046,58784,35734091,415055059855,False,True,True
3120243,85164,36999035,413045900094,True,True,True
3120066,98698,38326480,383632544354,True,True,True
3120156,94486,89760568,377851780489,True,True,True
3120159,183988,82431817,376230425856,True,True,True
3120184,124782,47808535,373137756572,True,True,True
3120179,114304,59975833,372471742236,True,True,True
3120104,156124,117540554,358184086045,True,True,True
3120192,143670,58420075,348465343609,True,True,True
3120003,62698,31886980,343940481206,False,True,True
3120114,220164,33718708,336696842554,True,True,True
3120067,133262,39925973,334908000344,True,True,True
3120229,60818,41089767,327809342918,False,True,True
3120052,22432,33405846,322572341302,False,True,True
3120157,185794,116057118,303623293550,True,True,True
3110759,27322,89510599,303157769752,False,True,True
3120160,86024,52604117,296359297338,True,True,True
3120055,135020,57390930,295851889526,True,True,True
3120012,42832,89344700,293474490634,False,True,True
3120203,31490,50137137,291274436124,False,True,True
3120190,50698,40001362,291233432711,False,True,True
3120235,79898,11973753,278097419492,True,False,True
3120072,67710,80439695,276154899181,False,True,True
3120246,132876,99144611,270818323164,True,True,True
3120130,46480,34587290,265803675674,False,True,True
3120191,97700,51909298,256978975988,True,True,True
3120113,73746,51091958,251407549445,False,True,True
3130086,44224,34043046,248547135012,False,True,True
3120101,140176,41656723,246044712182,True,True,True
3120217,83154,38714305,241464190409,True,True,True
3120248,49754,37016633,223690453057,False,True,True
3120032,52670,45365600,223131639249,False,True,True
3120171,66070,36063732,222932722702,False,True,True
3120041,131986,49802181,222565370148,True,True,True
3120169,45576,38223137,221919963849,False,True,True
3120078,11202,30294297,217545693165,False,True,True
3120164,63380,32658352,203470045300,False,True,True
3120234,54078,43638041,200384378053,False,True,True
3120062,75360,48059018,197383830377,True,True,True
3120090,62136,50509997,197325567244,False,True,True
3120194,56322,48574033,192407167110,False,True,True
3120056,91202,38111816,190049731739,True,True,True
3120228,94512,54330315,184658767391,True,True,True
3130167,33640,38857055,184129803331,False,True,True
3110226,236054,71112813,183307580737,True,True,True
3120107,51106,36151865,178610134058,False,True,True
3120132,149420,26136140,178229088213,True,False,True
3120008,7910,31166446,176901265042,False,True,True
3111046,195206,51615892,171508268588,True,True,True
3120051,47084,58383289,171323391237,False,True,True
3130052,28982,49659436,170469984528,False,True,True
3120213,90430,56019998,170121201484,True,True,True
3120207,146696,56504319,168887859457,True,True,True
3120151,102846,32969590,167868310659,True,True,True
3120136,63892,47909616,164256701568,False,True,True
3120039,70882,62420722,161128383455,False,True,True
3120175,85680,34932558,159385067728,True,True,True
3130195,55180,40543034,158369052872,False,True,True
3120120,61018,45589203,152633734505,False,True,True
3120069,138444,45159150,148719196367,True,True,True
3111021,213056,62953660,147766132942,True,True,True
3120142,35334,44947377,147549196988,False,True,True
3110997,157920,57440876,145613749055,True,True,True
3120102,68924,61558122,144263918540,False,True,True
3120095,29628,29831165,143240498771,False,True,True
3120057,76086,32700817,142701438213,True,True,True
3120237,81234,53875470,140228287136,True,True,True
3120122,136880,46395376,139555148298,True,True,True
3110137,35314,35571025,138707176203,False,True,True
3120172,72848,50556902,137001868652,False,True,True
3120121,74310,66481263,135848308847,False,True,True
3111004,217224,58024716,134340542411,True,True,True
3120198,158666,63503341,133108332696,True,True,True
3120240,79356,43194498,129479391063,True,True,True
3120002,35086,32981999,127692580038,False,True,True
3120112,99264,35154704,124689722983,True,True,True
3120077,38392,39908014,122185990235,False,True,True
3120096,57076,32103568,122082103061,False,True,True
3120127,113974,16442530,120113542292,True,False,True
3110671,157064,49346362,119599053027,True,True,True
3111057,91476,23255412,114311893637,True,False,True
3130067,76042,32158909,112683729892,True,True,True
3120059,93138,28019900,110541900325,True,False,True
3120123,107344,18485257,110430496549,True,False,True
3110550,123122,42557651,106182866014,True,True,True
3110229,159544,42558826,105453483543,True,True,True
3120049,52834,56109130,104186180064,False,True,True
3120242,79742,42850635,102909122270,True,True,True
3130183,60002,32120111,102142497361,False,True,True
3110836,199572,45248948,101945580484,True,True,True
3130072,94586,23466363,100536322640,True,False,True
3110762,241698,43201339,97053388498,True,True,True
3110397,164852,40944729,96676056477,True,True,True
3110638,126022,53495576,95572828224,True,True,True
3120144,32754,38785591,94078881337,False,True,True
3120124,79932,24083992,93983567904,True,False,True
3130313,118006,25857369,91846232924,True,False,True
3120054,89996,38960901,91041702129,True,True,True
3110415,111612,48324248,87844050084,True,True,True
3111077,252128,84121541,87631388785,True,True,True
3111003,238744,51768628,86009880198,True,True,True
3110656,209708,139436894,85219090054,True,True,True
3110895,190738,93750075,84997579544,True,True,True
3120204,35656,48826966,84808807218,False,True,True
3110992,170758,49509143,84289689425,True,True,True
3111059,243838,85603716,83553296266,True,True,True
3111013,190220,58667898,83546114034,True,True,True
3130146,75284,42101266,83086752084,True,True,True
3110544,268338,122858245,82584012027,True,True,True
3130010,2102,29522673,82211846290,False,True,True
3110069,116926,58466510,81192788648,True,True,True
3111006,192938,55497769,80264526766,True,True,True
3111089,82072,21308490,79537662874,True,False,True
3110850,180802,67412433,77971043485,True,True,True
3110714,91286,35861878,77190014798,True,True,True
3110892,258636,118059948,73395076849,True,True,True
3110939,134114,46680014,72555125392,True,True,True
